Year,Annual Average CPI(-U),Annual Percent Change,index,title,genre,budget,revenue,release_date,runtime,director,meta_mixed,meta_negative,meta_positive,metascore,user_mixed,user_negative,user_positive,userscore,release_year,Poster_URL
2008,215.3,0.038,1237,Obitaemyy Ostrov,Action,36500000,21834845,12/18/2008,115,Fyodor Bondarchuk,,,,,,,,,2008,https://image.tmdb.org/t/p/w500/7tVc6BEY7FEowyEDOTqzfpqBnDo.jpg
2015,237,0.001,1250,葉問3,Action,36000000,156844753,12/19/2015,105,Wilson Yip,,,,,,,,,2015,https://image.tmdb.org/t/p/w500/RTt4lgyTDI8JHMGbZGDDbcZmkM.jpg
1994,148.2,0.026,1291,Street Fighter,Action,35000000,99423521,12/22/1994,102,Steven E. de Souza,,,,,,,,,1994,https://image.tmdb.org/t/p/w500/6yh95dD2Y6uWAlPfWCZZygBM1ec.jpg
2010,218.1,0.016,1306,Nanny McPhee and the Big Bang,Comedy,35000000,93246388,3/26/2010,109,Susanna White,,,,,,,,,2010,https://image.tmdb.org/t/p/w500/9cgHfgBXVZmVR63AhwJ82R1kAFS.jpg
1983,99.6,0.032,1321,Krull,Fantasy,27000000,16519460,7/29/1983,117,Peter Yates,,,,,,,,,1983,https://image.tmdb.org/t/p/w500/2dyMDv6W3ugMfaC8DEXPiqMcurD.jpg
2009,214.5,-0.004,1326,Whiteout,Action,40000000,12206028,9/9/2009,101,Dominic Sena,,,,,,,,,2009,https://image.tmdb.org/t/p/w500/kkXXA3353MX60B8PRSkTGRabxXu.jpg
1992,140.3,0.03,1334,Radio Flyer,Drama,35000000,4651977,2/21/1992,114,Richard Donner,,,,,,,,,1992,https://image.tmdb.org/t/p/w500/vwS1R7g0g3ru5DDt1lLbLxX2k2J.jpg
1995,152.4,0.028,1336,Le Hussard sur le toit,War,35000000,15000000,9/20/1995,135,Jean-Paul Rappeneau,,,,,,,,,1995,https://image.tmdb.org/t/p/w500/tsmwnxi8hGXQTNVqBRCAVsfeGON.jpg
2006,201.6,0.032,1338,Bandidas,Action,35000000,10496317,1/18/2006,93,Joachim Rønning,,,,,,,,,2006,https://image.tmdb.org/t/p/w500/31wgXG6OxDaXbp5IzyNoUJdVS5e.jpg
1999,166.6,0.022,1343,Chill Factor,Action,70000000,11263966,9/1/1999,101,Hugh Johnson,,,,,,,,,1999,https://image.tmdb.org/t/p/w500/t8Qn1iKnvVOttEqaj6hz9tKGBjD.jpg
2008,215.3,0.038,1345,崖の上のポニョ,Animation,41677699,187479518,7/19/2008,100,Hayao Miyazaki,,,,,,,,,2008,https://image.tmdb.org/t/p/w500/yp8vEZflGynlEylxEesbYasc06i.jpg
1983,99.6,0.032,1359,Return of the Jedi,Adventure,32350000,572700000,5/23/1983,135,Richard Marquand,,,,,,,,,1983,https://image.tmdb.org/t/p/w500/jQYlydvHm3kUix1f8prMucrplhm.jpg
1993,144.5,0.03,1374,Alive,Action,32000000,36733909,1/15/1993,120,Frank Marshall,,,,,,,,,1993,https://image.tmdb.org/t/p/w500/uQACcCZqd7WCTRin9xRIW5gr1bd.jpg
2007,207.3,0.029,1375,The Number 23,Thriller,30000000,77566815,2/23/2007,101,Joel Schumacher,,,,,,,,,2007,https://image.tmdb.org/t/p/w500/mlNU8a1SkTu6cKA4LAoZxfNPng0.jpg
1979,72.6,0.113,1377,1941,Action,35000000,31755742,12/13/1979,113,Steven Spielberg,,,,,,,,,1979,https://image.tmdb.org/t/p/w500/52Bn5yC6IHQuVxPUza3Q6RZCZTu.jpg
2007,207.3,0.029,1383,디워,Fantasy,70000000,53587404,2/8/2007,90,Shim Hyung-Rae,,,,,,,,,2007,https://image.tmdb.org/t/p/w500/rEpvqWGu08coDLUpcpiz4sMoDYo.jpg
1997,160.5,0.023,1385,Cats Don't Dance,Animation,32000000,3566637,3/26/1997,75,Mark Dindal,,,,,,,,,1997,https://image.tmdb.org/t/p/w500/5Fq3lsn398I5djODa3v8fQW9ssC.jpg
1985,107.6,0.035,1390,Out of Africa,Drama,31000000,128499205,12/20/1985,161,Sydney Pollack,,,,,,,,,1985,https://image.tmdb.org/t/p/w500/3eLAm1kuVD5QZCOydbiu7j6GAbw.jpg
2013,233,0.015,1408,The Butler,Drama,25000000,115922175,8/16/2013,132,Lee Daniels,,,,,,,,,2013,https://image.tmdb.org/t/p/w500/TTtg1JzS8OJjbmiKTyCSlfYw0M.jpg
2000,172.2,0.034,1423,Rugrats in Paris: The Movie,Adventure,30000000,103000000,9/14/2000,78,Stig Bergqvist,,,,,,,,,2000,https://image.tmdb.org/t/p/w500/fDV5s6Wb21lGq5fWuLxXtAdWobT.jpg
1991,136.2,0.042,1424,The Prince of Tides,Drama,30000000,74787599,12/25/1991,132,Barbra Streisand,,,,,,,,,1991,https://image.tmdb.org/t/p/w500/ry9qfPhPcmXb3AuV1jLKNMqnXL1.jpg
1994,148.2,0.026,1442,The Naked Gun 33⅓: The Final Insult,Comedy,30000000,51132598,3/18/1994,83,Peter Segal,,,,,,,,,1994,https://image.tmdb.org/t/p/w500/p0AYsdgkudR9P5fNV5AjzbwQt8W.jpg
2005,195.3,0.034,1444,The Curse of the Were-Rabbit,Adventure,30000000,192452832,9/4/2005,85,Nick Park,,,,,,,,,2005,https://image.tmdb.org/t/p/w500/cMQ2lNd7sBe6PCf6zF5QxrKzbRG.jpg
1998,163,0.016,1483,The Replacement Killers,Action,30000000,19204929,2/6/1998,87,Antoine Fuqua,,,,,,,,,1998,https://image.tmdb.org/t/p/w500/5JAVd0lYhkB2dsDtt84Qt6grNIn.jpg
1996,156.9,0.029,1484,Fled,Action,25000000,17193231,7/19/1996,98,Kevin Hooks,,,,,,,,,1996,https://image.tmdb.org/t/p/w500/5oGdTgWXCOKerrfdBxJrOlFyifL.jpg
2010,218.1,0.016,1485,Love & Other Drugs,Drama,30000000,102820008,11/22/2010,112,Edward Zwick,,,,,,,,,2010,https://image.tmdb.org/t/p/w500/wZLM2uKJRYNchLmiCIjosX0rXy8.jpg
2003,184,0.023,1492,Alex & Emma,Comedy,30000000,15368897,6/16/2003,96,Rob Reiner,,,,,,,,,2003,https://image.tmdb.org/t/p/w500/AaDCSJipXeswMpM0TfOAbbYaBPb.jpg
1989,124,0.048,1504,Glory,War,18000000,26828365,12/15/1989,122,Edward Zwick,,,,,,,,,1989,https://image.tmdb.org/t/p/w500/pGDzBjZvzmSCIEduQBfESLMiwtp.jpg
2011,224.9,0.032,1508,辛亥革命,Adventure,30000000,108348,7/3/2011,125,Jackie Chan,,,,,,,,,2011,https://image.tmdb.org/t/p/w500/iJNaLeyVk7KPYrTPESbXOd1Wk0Y.jpg
2002,179.9,0.016,1515,Serving Sara,Comedy,29000000,16930185,8/20/2002,100,Reginald Hudlin,,,,,,,,,2002,https://image.tmdb.org/t/p/w500/uCVpsb5LxlfYShF3TXBo1mu8GeZ.jpg
1998,163,0.016,1522,The Rugrats Movie,Animation,30000000,100491683,11/20/1998,79,Norton Virgien,,,,,,,,,1998,https://image.tmdb.org/t/p/w500/uZejGKCSd6nwfMx8U0Td37U2fTc.jpg
2013,233,0.015,1532,キャプテンハーロック,Animation,30000000,17137302,9/7/2013,115,Shinji Aramaki,,,,,,,,,2013,https://image.tmdb.org/t/p/w500/fnoZJlitIOBo2fSCyzAsv0lHtYL.jpg
1993,144.5,0.03,1541,Hocus Pocus,Comedy,28000000,39514713,7/16/1993,96,Kenny Ortega,,,,,,,,,1993,https://image.tmdb.org/t/p/w500/by4D4Q9NlUjFSEUA1yrxq6ksXmk.jpg
2001,177.1,0.028,1552,Le peuple migrateur,Documentary,35866397,20217080,12/12/2001,98,Jacques Perrin,,,,,,,,,2001,https://image.tmdb.org/t/p/w500/qjv7cYLSufwf03So0SuRFU7sRxB.jpg
1997,160.5,0.023,1556,A Simple Wish,Adventure,28000000,8345056,7/11/1997,86,Michael Ritchie,,,,,,,,,1997,https://image.tmdb.org/t/p/w500/cfyJ7yIvNTlz2ooH8iU6r0pxAMj.jpg
2006,201.6,0.032,1563,Alatriste,Action,24000000,23321954,9/1/2006,145,Agustín Díaz Yanes,,,,,,,,,2006,https://image.tmdb.org/t/p/w500/hQ4b8dXp0uCqslHm0jOvjw4BNUe.jpg
1983,99.6,0.032,1565,Octopussy,Adventure,27500000,187500000,6/5/1983,131,John Glen,,,,,,,,,1983,https://image.tmdb.org/t/p/w500/yoosZitM9igSk3Sd0sBXIhKlAh1.jpg
1984,103.9,0.043,1569,A Passage to India,Drama,8000000,27187653,12/14/1984,163,David Lean,,,,,,,,,1984,https://image.tmdb.org/t/p/w500/rvBWlGRKte2U6qElHV13h6JvmSe.jpg
1998,163,0.016,1584,The Newton Boys,Crime,27000000,76000000,3/26/1998,113,Richard Linklater,,,,,,,,,1998,https://image.tmdb.org/t/p/w500/9o8TJ0omiRyqshRs5yLNwtarsYD.jpg
2001,177.1,0.028,1589,The 51st State,Thriller,27000000,14000000,12/7/2001,93,Ronny Yu,,,,,,,,,2001,https://image.tmdb.org/t/p/w500/5MaF1WIt8s9aEGQpYfaKhEOgVjK.jpg
2008,215.3,0.038,1591,What Just Happened,Comedy,25000000,6673422,10/17/2008,104,Barry Levinson,,,,,,,,,2008,https://image.tmdb.org/t/p/w500/o88aPDDMtdwQsPyXqSKhu98jjru.jpg
